*,name,satellites,radius_km,semi_major_axis_au,eccentricity,inclination_deg,argument_of_periapsis_deg,longitude_of_ascending_node_deg,mean_anomaly_deg,density_g_cm3,type,,,,,,,,,,,SolSys_ID,Domain_ID
*,☾,S/2005 S (♄) 4,3 km,"11,324,500 km",0.315,48°,,,,?,,,,,,,,,,,,424,9
*,☾,S/2019 S (♄) 25,2 km,"11,329,400 km",0.271,48.1°,,,,?,,,,,,,,,,,,425,9
*,☾,S/2020 S (♄) 1,2 km,"11,338,700 km",0.337,48.2°,,,,?,,,,,,,,,,,,426,9
*,☾,Ijiraq,7 km,"11,345,000 km",0.353,49.2°,,,,?,,,,,,,,,,,,427,9
*,☾,S/2019 S (♄) 24,2 km,"11,360,500 km",0.345,46.7°,,,,?,,,,,,,,,,,,428,9
*,☾,S/2007 S (♄) 10,2 km,"11,364,900 km",0.367,45.8°,,,,?,,,,,,,,,,,,429,9
*,☾,S/2019 S (♄) 26,2 km,"11,390,900 km",0.365,48.1°,,,,?,,,,,,,,,,,,430,9
*,☾,S/2020 S (♄) 13,2 km,"11,415,600 km",0.373,48°,,,,?,,,,,,,,,,,,431,9
*,☾,S/2023 S (♄) 50,2 km,"11,656,500 km",0.263,166.1°,,,,?,,,,,,,,,,,,432,9
*,☾,S/2023 S (♄) 6,2 km,"11,953,100 km",0.336,47.4°,,,,?,,,,,,,,,,,,433,9
*,☾,S/2023 S (♄) 7,2 km,"12,133,700 km",0.284,44.7°,,,,?,,,,,,,,,,,,434,9
*,☾,S/2023 S (♄) 38,2 km,"12,823,500 km",0.909,149.2°,,,,?,,,,,,,,,,,,435,9
*,☾,Phoebe,107 km,"12,960,000 km",0.156,173.04°,,,,1.643 g/cm3,,,,,,,,,,,,436,9
*,☾,S/2023 S (♄) 9,2 km,"13,167,500 km",0.141,172.2°,,,,?,,,,,,,,,,,,437,9
*,☾,S/2006 S (♄) 20,3 km,"13,193,800 km",0.206,173.1°,,,,?,,,,,,,,,,,,438,9
*,☾,S/2004 S (♄) 56,3 km,"13,670,200 km",0.339,161.6°,,,,?,,,,,,,,,,,,439,9
*,☾,S/2023 S (♄) 8,2 km,"14,018,800 km",0.122,166.9°,,,,?,,,,,,,,,,,,440,9
*,☾,S/2023 S (♄) 11,2 km,"14,046,100 km",0.3,170.9°,,,,?,,,,,,,,,,,,441,9
*,☾,S/2006 S (♄) 9,2 km,"14,406,600 km",0.248,173°,,,,?,,,,,,,,,,,,442,9
*,☾,S/2006 S (♄) 21,2 km,"14,976,500 km",0.204,169.8°,,,,?,,,,,,,,,,,,443,9
*,☾,Paaliaq,15 km,"14,997,300 km",0.384,47.1°,,,,2.3 g/cm3,,,,,,,,,,,,444,9
*,☾,S/2006 S (♄) 22,2 km,"15,109,500 km",0.246,172°,,,,?,,,,,,,,,,,,445,9
*,☾,S/2023 S (♄) 13,2 km,"15,193,000 km",0.179,168.5°,,,,?,,,,,,,,,,,,446,9
*,☾,S/2023 S (♄) 10,2 km,"15,500,200 km",0.302,163°,,,,?,,,,,,,,,,,,447,9
*,☾,Skathi,4 km,"15,541,000 km",0.27,149°,,,,?,,,,,,,,,,,,448,9
*,☾,S/2023 S (♄) 12,2 km,"15,805,900 km",0.601,168.8°,,,,?,,,,,,,,,,,,449,9
*,☾,S/2007 S (♄) 5,3 km,"15,835,700 km",0.116,158.4°,,,,?,,,,,,,,,,,,450,9
*,☾,S/2007 S (♄) 2,3 km,"15,850,000 km",0.275,176.65°,,,,?,,,,,,,,,,,,451,9
*,☾,S/2007 S (♄) 7,2 km,"15,931,600 km",0.217,169.2°,,,,?,,,,,,,,,,,,452,9
*,☾,S/2004 S (♄) 37,2 km,"16,003,300 km",0.506,163°,,,,?,,,,,,,,,,,,453,9
*,☾,S/2004 S (♄) 47,2 km,"16,050,700 km",0.291,160.9°,,,,?,,,,,,,,,,,,454,9
*,☾,S/2004 S (♄) 40,2 km,"16,075,600 km",0.297,169.2°,,,,?,,,,,,,,,,,,455,9
*,☾,S/2020 S (♄) 14,2 km,"16,186,200 km",0.313,161.7°,,,,?,,,,,,,,,,,,456,9
*,☾,S/2019 S (♄) 27,2 km,"16,267,000 km",0.42,162.1°,,,,?,,,,,,,,,,,,457,9
*,☾,Albiorix,14 km,"16,329,100 km",0.47,38.9°,,,,?,,,,,,,,,,,,458,9
*,☾,S/2019 S (♄) 2,2 km,"16,559,900 km",0.279,173.3°,,,,?,,,,,,,,,,,,459,9
*,☾,S/2020 S (♄) 15,2 km,"16,729,200 km",0.462,37.1°,,,,?,,,,,,,,,,,,460,9
*,☾,S/2023 S (♄) 14,2 km,"16,853,000 km",0.497,171.6°,,,,?,,,,,,,,,,,,461,9
*,☾,S/2020 S (♄) 16,2 km,"16,963,400 km",0.405,167.3°,,,,?,,,,,,,,,,,,462,9
*,☾,S/2023 S (♄) 16,2 km,"17,005,300 km",0.27,162.6°,,,,?,,,,,,,,,,,,463,9
*,☾,S/2007 S (♄) 8,2 km,"17,049,000 km",0.49,36.5°,,,,?,,,,,,,,,,,,464,9
*,☾,S/2004 S (♄) 29,2 km,"17,063,900 km",0.485,38.6°,,,,?,,,,,,,,,,,,465,9
*,☾,S/2019 S (♄) 3,2 km,"17,077,100 km",0.249,166.9°,,,,?,,,,,,,,,,,,466,9
*,☾,S/2020 S (♄) 17,2 km,"17,094,200 km",0.378,148.9°,,,,?,,,,,,,,,,,,467,9
*,☾,Bebhionn,3 km,"17,119,000 km",0.469,41°,,,,?,,,,,,,,,,,,468,9
*,☾,S/2023 S (♄) 20,2 km,"17,261,000 km",0.442,136.5°,,,,?,,,,,,,,,,,,469,9
*,☾,S/2019 S (♄) 29,2 km,"17,353,900 km",0.441,37.7°,,,,?,,,,,,,,,,,,470,9
*,☾,S/2023 S (♄) 18,2 km,"17,381,700 km",0.448,36.7°,,,,?,,,,,,,,,,,,471,9
*,☾,S/2023 S (♄) 17,2 km,"17,385,300 km",0.498,35.9°,,,,?,,,,,,,,,,,,472,9
*,☾,S/2020 S (♄) 7,2 km,"17,400,000 km",0.558,161.5°,,,,?,,,,,,,,,,,,473,9
*,☾,S/2004 S (♄) 31,2 km,"17,402,800 km",0.242,48.1°,,,,?,,,,,,,,,,,,474,9
*,☾,S/2007 S (♄) 11,2 km,"17,434,400 km",0.499,35.5°,,,,?,,,,,,,,,,,,475,9
*,☾,S/2019 S (♄) 28,2 km,"17,496,000 km",0.199,158.4°,,,,?,,,,,,,,,,,,476,9
*,☾,Erriapus,5 km,"17,507,200 km",0.462,38.7°,,,,?,,,,,,,,,,,,477,9
*,☾,Skoll,3 km,"17,560,000 km",0.418,156°,,,,?,,,,,,,,,,,,478,9
*,☾,S/2023 S (♄) 19,2 km,"17,590,300 km",0.092,48.2°,,,,?,,,,,,,,,,,,479,9
*,☾,S/2023 S (♄) 3,2 km,"17,646,400 km",0.178,46.9°,,,,?,,,,,,,,,,,,480,9
*,☾,S/2019 S (♄) 30,2 km,"17,709,900 km",0.107,168.3°,,,,?,,,,,,,,,,,,481,9
*,☾,S/2020 S (♄) 19,2 km,"17,726,700 km",0.159,48.1°,,,,?,,,,,,,,,,,,482,9
*,☾,S/2019 S (♄) 31,2 km,"17,739,100 km",0.488,39.8°,,,,?,,,,,,,,,,,,483,9
*,☾,S/2023 S (♄) 21,2 km,"17,755,400 km",0.077,157.3°,,,,?,,,,,,,,,,,,484,9
*,☾,Siarnaq,20 km,"17,763,000 km",0.529,43.801°,,,,?,,,,,,,,,,,,485,9
*,☾,S/2023 S (♄) 4,2 km,"17,764,600 km",0.276,170°,,,,?,,,,,,,,,,,,486,9
*,☾,S/2020 S (♄) 18,2 km,"17,777,900 km",0.18,168.9°,,,,?,,,,,,,,,,,,487,9
*,☾,S/2019 S (♄) 14,2 km,"17,853,000 km",0.072,46.2°,,,,?,,,,,,,,,,,,488,9
*,☾,S/2020 S (♄) 2,2 km,"17,869,000 km",0.152,170.7°,,,,?,,,,,,,,,,,,489,9
*,☾,Tarqeq,3 km,"17,910,600 km",0.108,49.9°,,,,?,,,,,,,,,,,,490,9
*,☾,S/2019 S (♄) 4,2 km,"17,951,800 km",0.408,170.1°,,,,?,,,,,,,,,,,,491,9
*,☾,S/2019 S (♄) 32,3 km,"17,960,500 km",0.276,46.2°,,,,?,,,,,,,,,,,,492,9
*,☾,S/2020 S (♄) 20,2 km,"17,997,300 km",0.133,169.8°,,,,?,,,,,,,,,,,,493,9
*,☾,S/2020 S (♄) 3,2 km,"18,054,700 km",0.038,46.1°,,,,?,,,,,,,,,,,,494,9
*,☾,S/2004 S (♄) 41,2 km,"18,095,000 km",0.301,165.7°,,,,?,,,,,,,,,,,,495,9
*,☾,S/2005 S (♄) 6,2 km,"18,107,300 km",0.084,47.7°,,,,?,,,,,,,,,,,,496,9
*,☾,S/2004 S (♄) 57,2 km,"18,150,500 km",0.263,167.9°,,,,?,,,,,,,,,,,,497,9
*,☾,S/2019 S (♄) 6,2 km,"18,205,500 km",0.12,46.4°,,,,?,,,,,,,,,,,,498,9
*,☾,Greip,3 km,"18,206,000 km",0.326,172.7°,,,,?,,,,,,,,,,,,499,9
*,☾,S/2006 S (♄) 24,2 km,"18,210,700 km",0.352,165.9°,,,,?,,,,,,,,,,,,500,9
*,☾,Tarvos,8 km,"18,215,000 km",0.528,38.6°,,,,?,,,,,,,,,,,,501,9
*,☾,S/2020 S (♄) 4,2 km,"18,235,500 km",0.495,40.1°,,,,?,,,,,,,,,,,,502,9
*,☾,S/2023 S (♄) 30,2 km,"18,238,300 km",0.493,142.4°,,,,?,,,,,,,,,,,,503,9
*,☾,S/2004 S (♄) 42,2 km,"18,240,800 km",0.157,165.7°,,,,?,,,,,,,,,,,,504,9
*,☾,S/2023 S (♄) 15,2 km,"18,241,300 km",0.549,161.9°,,,,?,,,,,,,,,,,,505,9
*,☾,S/2004 S (♄) 58,3 km,"18,254,500 km",0.249,45.7°,,,,?,,,,,,,,,,,,506,9
*,☾,S/2006 S (♄) 23,2 km,"18,269,700 km",0.19,43.8°,,,,?,,,,,,,,,,,,507,9
*,☾,S/2023 S (♄) 24,2 km,"18,351,800 km",0.374,169.7°,,,,?,,,,,,,,,,,,508,9
*,☾,S/2020 S (♄) 5,2 km,"18,391,300 km",0.22,48.2°,,,,?,,,,,,,,,,,,509,9
*,☾,Hyrrokkin,4 km,"18,437,000 km",0.333,153°,,,,?,,,,,,,,,,,,510,9
*,☾,S/2019 S (♄) 34,2 km,"18,446,800 km",0.536,37.6°,,,,?,,,,,,,,,,,,511,9
*,☾,S/2004 S (♄) 13,3 km,"18,486,000 km",0.271,166.995°,,,,?,,,,,,,,,,,,512,9
*,☾,S/2005 S (♄) 7,2 km,"18,502,500 km",0.565,34.6°,,,,?,,,,,,,,,,,,513,9
*,☾,S/2007 S (♄) 6,2 km,"18,544,900 km",0.169,166.5°,,,,?,,,,,,,,,,,,514,9
*,☾,S/2019 S (♄) 35,2 km,"18,557,800 km",0.577,157.3°,,,,?,,,,,,,,,,,,515,9
*,☾,S/2006 S (♄) 25,2 km,"18,572,400 km",0.303,158.8°,,,,?,,,,,,,,,,,,516,9
*,☾,S/2023 S (♄) 22,2 km,"18,577,500 km",0.182,47.5°,,,,?,,,,,,,,,,,,517,9
*,☾,Mundilfari,4 km,"18,590,300 km",0.21,168.4°,,,,?,,,,,,,,,,,,518,9
*,☾,S/2006 S (♄) 26,2 km,"18,619,300 km",0.248,171.9°,,,,?,,,,,,,,,,,,519,9
*,☾,S/2006 S (♄) 1,2 km,"18,652,750 km",0.081,154.629°,,,,?,,,,,,,,,,,,520,9
*,☾,S/2019 S (♄) 33,2 km,"18,696,100 km",0.289,170.4°,,,,?,,,,,,,,,,,,521,9
*,☾,S/2023 S (♄) 23,2 km,"18,783,700 km",0.35,164.8°,,,,?,,,,,,,,,,,,522,9
*,☾,Jarnsaxa,2 km,"18,811,000 km",0.216,162.9°,,,,?,,,,,,,,,,,,523,9
*,☾,S/2020 S (♄) 21,2 km,"18,862,100 km",0.307,169.9°,,,,?,,,,,,,,,,,,524,9
*,☾,S/2004 S (♄) 43,2 km,"18,935,000 km",0.432,171.1°,,,,?,,,,,,,,,,,,525,9
*,☾,S/2006 S (♄) 10,2 km,"18,979,900 km",0.151,161.6°,,,,?,,,,,,,,,,,,526,9
*,☾,S/2019 S (♄) 5,2 km,"19,090,400 km",0.216,158.8°,,,,?,,,,,,,,,,,,527,9
*,☾,S/2023 S (♄) 25,2 km,"19,136,600 km",0.281,166.4°,,,,?,,,,,,,,,,,,528,9
*,☾,S/2004 S (♄) 59,2 km,"19,170,700 km",0.262,167.3°,,,,?,,,,,,,,,,,,529,9
*,☾,S/2006 S (♄) 27,2 km,"19,205,700 km",0.14,170.5°,,,,?,,,,,,,,,,,,530,9
*,☾,Gridr,2 km,"19,211,000 km",0.204,163.1°,,,,?,,,,,,,,,,,,531,9
*,☾,Narvi,4 km,"19,226,600 km",0.299,136.803°,,,,?,,,,,,,,,,,,532,9
*,☾,S/2023 S (♄) 44,2 km,"19,292,400 km",0.434,167.4°,,,,?,,,,,,,,,,,,533,9
*,☾,Bergelmir,3 km,"19,338,000 km",0.142,157°,,,,?,,,,,,,,,,,,534,9
*,☾,S/2007 S (♄) 3,3 km,"19,429,000 km",0.143,176.629°,,,,?,,,,,,,,,,,,535,9
*,☾,S/2020 S (♄) 22,2 km,"19,443,000 km",0.059,161.3°,,,,?,,,,,,,,,,,,536,9
*,☾,Suttungr,4 km,"19,459,000 km",0.114,174°,,,,?,,,,,,,,,,,,537,9
*,☾,S/2004 S (♄) 44,3 km,"19,515,400 km",0.129,167.7°,,,,?,,,,,,,,,,,,538,9
*,☾,S/2004 S (♄) 60,2 km,"19,517,000 km",0.28,173.8°,,,,?,,,,,,,,,,,,539,9
*,☾,S/2006 S (♄) 12,2 km,"19,569,800 km",0.542,38.6°,,,,?,,,,,,,,,,,,540,9
*,☾,S/2004 S (♄) 45,2 km,"19,693,600 km",0.551,154°,,,,?,,,,,,,,,,,,541,9
*,☾,Hati,3 km,"19,697,100 km",0.375,164.1°,,,,?,,,,,,,,,,,,542,9
*,☾,S/2006 S (♄) 11,2 km,"19,711,900 km",0.143,174.1°,,,,?,,,,,,,,,,,,543,9
*,☾,Eggther,3 km,"19,776,700 km",0.12,168°,,,,?,,,,,,,,,,,,544,9
*,☾,S/2020 S (♄) 23,2 km,"19,801,500 km",0.089,165°,,,,?,,,,,,,,,,,,545,9
*,☾,S/2023 S (♄) 27,2 km,"19,820,100 km",0.652,151.1°,,,,?,,,,,,,,,,,,546,9
*,☾,S/2004 S (♄) 17,2 km,"19,847,000 km",0.165,168.118°,,,,?,,,,,,,,,,,,547,9
*,☾,S/2004 S (♄) 12,3 km,"19,855,000 km",0.371,163.857°,,,,?,,,,,,,,,,,,548,9
*,☾,S/2023 S (♄) 28,2 km,"19,881,000 km",0.575,168.7°,,,,?,,,,,,,,,,,,549,9
*,☾,S/2023 S (♄) 37,2 km,"19,889,800 km",0.215,172.3°,,,,?,,,,,,,,,,,,550,9
*,☾,S/2023 S (♄) 26,2 km,"19,894,300 km",0.306,163.9°,,,,?,,,,,,,,,,,,551,9
*,☾,S/2019 S (♄) 36,2 km,"19,903,200 km",0.161,166.9°,,,,?,,,,,,,,,,,,552,9
*,☾,S/2006 S (♄) 13,2 km,"19,953,800 km",0.313,162°,,,,?,,,,,,,,,,,,553,9
*,☾,S/2019 S (♄) 37,2 km,"19,996,900 km",0.404,149.9°,,,,?,,,,,,,,,,,,554,9
*,☾,S/2023 S (♄) 48,2 km,"20,029,200 km",0.022,169.7°,,,,?,,,,,,,,,,,,555,9
*,☾,S/2023 S (♄) 29,2 km,"20,042,400 km",0.141,172.2°,,,,?,,,,,,,,,,,,556,9
*,☾,S/2007 S (♄) 9,2 km,"20,174,600 km",0.36,159.3°,,,,?,,,,,,,,,,,,557,9
*,☾,S/2019 S (♄) 7,2 km,"20,184,900 km",0.232,174.2°,,,,?,,,,,,,,,,,,558,9
*,☾,S/2019 S (♄) 8,2 km,"20,286,700 km",0.311,172.8°,,,,?,,,,,,,,,,,,559,9
*,☾,Bestla,4 km,"20,337,900 km",0.461,136.3°,,,,?,,,,,,,,,,,,560,9
*,☾,S/2019 S (♄) 9,2 km,"20,358,800 km",0.433,159.5°,,,,?,,,,,,,,,,,,561,9
*,☾,Angrboda,2 km,"20,379,900 km",0.257,177.4°,,,,?,,,,,,,,,,,,562,9
*,☾,Farbauti,2 km,"20,390,000 km",0.206,158°,,,,?,,,,,,,,,,,,563,9
*,☾,Beli,2 km,"20,424,000 km",0.113,157.5°,,,,?,,,,,,,,,,,,564,9
*,☾,S/2023 S (♄) 32,1 km,"20,454,400 km",0.037,169.8°,,,,?,,,,,,,,,,,,565,9
*,☾,Thrymr,4 km,"20,474,000 km",0.47,175°,,,,?,,,,,,,,,,,,566,9
*,☾,S/2004 S (♄) 46,2 km,"20,513,000 km",0.249,177.2°,,,,?,,,,,,,,,,,,567,9
*,☾,Gerd,2 km,"20,554,500 km",0.457,173.3°,,,,?,,,,,,,,,,,,568,9
*,☾,S/2020 S (♄) 24,2 km,"20,618,300 km",0.23,159.6°,,,,?,,,,,,,,,,,,569,9
*,☾,S/2019 S (♄) 11,2 km,"20,663,700 km",0.513,144.6°,,,,?,,,,,,,,,,,,570,9
*,☾,S/2019 S (♄) 10,2 km,"20,700,500 km",0.248,163.9°,,,,?,,,,,,,,,,,,571,9
*,☾,S/2023 S (♄) 31,2 km,"20,729,200 km",0.182,163°,,,,?,,,,,,,,,,,,572,9
*,☾,Aegir,2 km,"20,735,000 km",0.252,166.7°,,,,?,,,,,,,,,,,,573,9
*,☾,S/2020 S (♄) 25,2 km,"20,763,700 km",0.316,171.8°,,,,?,,,,,,,,,,,,574,9
*,☾,S/2023 S (♄) 34,2 km,"20,803,900 km",0.57,168.4°,,,,?,,,,,,,,,,,,575,9
*,☾,S/2023 S (♄) 39,2 km,"20,824,500 km",0.124,164.8°,,,,?,,,,,,,,,,,,576,9
*,☾,S/2019 S (♄) 12,2 km,"20,894,700 km",0.475,167.1°,,,,?,,,,,,,,,,,,577,9
*,☾,S/2019 S (♄) 13,2 km,"20,965,800 km",0.318,177.3°,,,,?,,,,,,,,,,,,578,9
*,☾,S/2004 S (♄) 61,2 km,"20,986,900 km",0.466,168.4°,,,,?,,,,,,,,,,,,579,9
*,☾,S/2006 S (♄) 14,2 km,"21,062,100 km",0.06,166.7°,,,,?,,,,,,,,,,,,580,9
*,☾,S/2023 S (♄) 40,2 km,"21,065,100 km",0.342,169.6°,,,,?,,,,,,,,,,,,581,9
*,☾,S/2019 S (♄) 15,2 km,"21,190,300 km",0.257,157.8°,,,,?,,,,,,,,,,,,582,9
*,☾,S/2020 S (♄) 6,2 km,"21,254,200 km",0.48,166.9°,,,,?,,,,,,,,,,,,583,9
*,☾,S/2020 S (♄) 26,2 km,"21,264,400 km",0.273,163.2°,,,,?,,,,,,,,,,,,584,9
*,☾,S/2023 S (♄) 41,2 km,"21,286,400 km",0.279,172.1°,,,,?,,,,,,,,,,,,585,9
*,☾,S/2005 S (♄) 5,2 km,"21,366,200 km",0.588,169.5°,,,,?,,,,,,,,,,,,586,9
*,☾,S/2006 S (♄) 3,2 km,"21,408,300 km",0.434,151.7°,,,,?,,,,,,,,,,,,587,9
*,☾,Skrymir,2 km,"21,427,000 km",0.399,177.7°,,,,?,,,,,,,,,,,,588,9
*,☾,S/2004 S (♄) 7,3 km,"21,559,000 km",0.574,165.05°,,,,?,,,,,,,,,,,,589,9
*,☾,Gunnlod,2 km,"21,564,200 km",0.262,159°,,,,?,,,,,,,,,,,,590,9
*,☾,S/2023 S (♄) 33,2 km,"21,621,900 km",0.665,155.8°,,,,?,,,,,,,,,,,,591,9
*,☾,S/2006 S (♄) 16,2 km,"21,720,600 km",0.204,164.1°,,,,?,,,,,,,,,,,,592,9
*,☾,S/2023 S (♄) 49,2 km,"21,766,500 km",0.026,171.7°,,,,?,,,,,,,,,,,,593,9
*,☾,S/2020 S (♄) 30,2 km,"21,790,700 km",0.601,154.2°,,,,?,,,,,,,,,,,,594,9
*,☾,S/2004 S (♄) 28,2 km,"21,791,300 km",0.133,170°,,,,?,,,,,,,,,,,,595,9
*,☾,S/2006 S (♄) 15,2 km,"21,799,500 km",0.117,161.1°,,,,?,,,,,,,,,,,,596,9
*,☾,S/2020 S (♄) 27,2 km,"21,802,300 km",0.255,145.3°,,,,?,,,,,,,,,,,,597,9
*,☾,S/2023 S (♄) 42,2 km,"21,837,000 km",0.059,166.7°,,,,?,,,,,,,,,,,,598,9
*,☾,S/2020 S (♄) 32,2 km,"21,884,100 km",0.502,169.1°,,,,?,,,,,,,,,,,,599,9
*,☾,Alvaldi,3 km,"21,953,200 km",0.182,176.4°,,,,?,,,,,,,,,,,,600,9
*,☾,S/2006 S (♄) 28,2 km,"21,955,100 km",0.21,172.9°,,,,?,,,,,,,,,,,,601,9
*,☾,S/2020 S (♄) 8,2 km,"21,966,600 km",0.252,161.8°,,,,?,,,,,,,,,,,,602,9
*,☾,S/2020 S (♄) 28,2 km,"21,993,700 km",0.474,160.1°,,,,?,,,,,,,,,,,,603,9
*,☾,S/2019 S (♄) 38,2 km,"21,998,400 km",0.399,163°,,,,?,,,,,,,,,,,,604,9
*,☾,Kari,3 km,"22,118,000 km",0.478,148.4°,,,,?,,,,,,,,,,,,605,9
*,☾,S/2004 S (♄) 48,2 km,"22,136,800 km",0.374,161.9°,,,,?,,,,,,,,,,,,606,9
*,☾,S/2023 S (♄) 36,2 km,"22,230,600 km",0.359,166.3°,,,,?,,,,,,,,,,,,607,9
*,☾,S/2023 S (♄) 35,2 km,"22,269,700 km",0.151,168.5°,,,,?,,,,,,,,,,,,608,9
*,☾,S/2020 S (♄) 29,2 km,"22,301,400 km",0.047,169.1°,,,,?,,,,,,,,,,,,609,9
*,☾,S/2004 S (♄) 50,2 km,"22,346,000 km",0.45,164°,,,,?,,,,,,,,,,,,610,9
*,☾,S/2006 S (♄) 17,2 km,"22,384,100 km",0.425,168.7°,,,,?,,,,,,,,,,,,611,9
*,☾,S/2004 S (♄) 49,2 km,"22,399,800 km",0.453,159.7°,,,,?,,,,,,,,,,,,612,9
*,☾,S/2020 S (♄) 34,2 km,"22,435,600 km",0.154,160.6°,,,,?,,,,,,,,,,,,613,9
*,☾,Fenrir,2 km,"22,454,000 km",0.136,163°,,,,?,,,,,,,,,,,,614,9
*,☾,S/2020 S (♄) 31,2 km,"22,457,300 km",0.238,163.8°,,,,?,,,,,,,,,,,,615,9
*,☾,S/2023 S (♄) 43,2 km,"22,563,900 km",0.264,170.3°,,,,?,,,,,,,,,,,,616,9
*,☾,Surtur,2 km,"22,707,000 km",0.451,177.5°,,,,?,,,,,,,,,,,,617,9
*,☾,S/2019 S (♄) 17,2 km,"22,724,000 km",0.546,155.5°,,,,?,,,,,,,,,,,,618,9
*,☾,S/2006 S (♄) 18,2 km,"22,760,700 km",0.089,169.5°,,,,?,,,,,,,,,,,,619,9
*,☾,S/2004 S (♄) 39,1 km,"22,790,400 km",0.081,167.6°,,,,?,,,,,,,,,,,,620,9
*,☾,S/2020 S (♄) 36,2 km,"22,806,200 km",0.336,168.8°,,,,?,,,,,,,,,,,,621,9
*,☾,S/2004 S (♄) 24,2 km,"22,900,546 km",0.085,35.538°,,,,?,,,,,,,,,,,,622,9
*,☾,S/2020 S (♄) 33,2 km,"22,922,500 km",0.555,162.8°,,,,?,,,,,,,,,,,,623,9
*,☾,Ymir,10 km,"22,957,100 km",0.337,173.1°,,,,?,,,,,,,,,,,,624,9
*,☾,Geirrod,2 km,"23,006,200 km",0.391,154°,,,,?,,,,,,,,,,,,625,9
*,☾,S/2020 S (♄) 35,2 km,"23,030,300 km",0.225,174.9°,,,,?,,,,,,,,,,,,626,9
*,☾,S/2019 S (♄) 19,2 km,"23,047,200 km",0.372,146.8°,,,,?,,,,,,,,,,,,627,9
*,☾,Loge,3 km,"23,065,000 km",0.187,166.5°,,,,?,,,,,,,,,,,,628,9
*,☾,S/2019 S (♄) 18,2 km,"23,140,700 km",0.509,154.6°,,,,?,,,,,,,,,,,,629,9
*,☾,S/2019 S (♄) 16,2 km,"23,264,100 km",0.25,162°,,,,?,,,,,,,,,,,,630,9
*,☾,S/2004 S (♄) 53,2 km,"23,279,800 km",0.24,162.6°,,,,?,,,,,,,,,,,,631,9
*,☾,S/2023 S (♄) 45,2 km,"23,438,400 km",0.633,157.4°,,,,?,,,,,,,,,,,,632,9
*,☾,S/2020 S (♄) 38,2 km,"23,583,900 km",0.513,159.7°,,,,?,,,,,,,,,,,,633,9
*,☾,S/2019 S (♄) 20,2 km,"23,679,600 km",0.354,156.1°,,,,?,,,,,,,,,,,,634,9
*,☾,S/2004 S (♄) 36,2 km,"23,698,700 km",0.667,155°,,,,?,,,,,,,,,,,,635,9
*,☾,S/2020 S (♄) 37,2 km,"23,751,800 km",0.344,174.8°,,,,?,,,,,,,,,,,,636,9
*,☾,Thiazzi,2 km,"23,764,800 km",0.417,160°,,,,?,,,,,,,,,,,,637,9
*,☾,S/2019 S (♄) 39,2 km,"23,784,500 km",0.098,174.5°,,,,?,,,,,,,,,,,,638,9
*,☾,S/2020 S (♄) 40,2 km,"23,785,900 km",0.412,167.3°,,,,?,,,,,,,,,,,,639,9
*,☾,S/2006 S (♄) 19,2 km,"23,801,100 km",0.575,175.5°,,,,?,,,,,,,,,,,,640,9
*,☾,S/2004 S (♄) 21,2 km,"23,810,400 km",0.312,160°,,,,?,,,,,,,,,,,,641,9
*,☾,S/2019 S (♄) 40,2 km,"24,087,800 km",0.088,161.8°,,,,?,,,,,,,,,,,,642,9
*,☾,S/2019 S (♄) 42,2 km,"24,111,600 km",0.121,163.2°,,,,?,,,,,,,,,,,,643,9
*,☾,S/2020 S (♄) 39,2 km,"24,262,400 km",0.305,160.1°,,,,?,,,,,,,,,,,,644,9
*,☾,S/2004 S (♄) 34,2 km,"24,358,900 km",0.267,165.7°,,,,?,,,,,,,,,,,,645,9
*,☾,S/2019 S (♄) 41,2 km,"24,493,600 km",0.257,157.1°,,,,?,,,,,,,,,,,,646,9
*,☾,S/2023 S (♄) 46,2 km,"24,708,900 km",0.336,143.2°,,,,?,,,,,,,,,,,,647,9
*,☾,S/2023 S (♄) 47,2 km,"25,102,300 km",0.101,162.5°,,,,?,,,,,,,,,,,,648,9
*,☾,Fornjot,3 km,"25,108,000 km",0.206,168°,,,,?,,,,,,,,,,,,649,9
*,☾,S/2004 S (♄) 51,2 km,"25,208,000 km",0.201,171.2°,,,,?,,,,,,,,,,,,650,9
*,☾,S/2006 S (♄) 29,2 km,"25,212,100 km",0.239,156.2°,,,,?,,,,,,,,,,,,651,9
*,☾,S/2020 S (♄) 10,2 km,"25,314,700 km",0.296,165.6°,,,,?,,,,,,,,,,,,652,9
*,☾,S/2020 S (♄) 42,2 km,"25,329,400 km",0.506,157.5°,,,,?,,,,,,,,,,,,653,9
*,☾,S/2020 S (♄) 9,2 km,"25,434,100 km",0.531,161.4°,,,,?,,,,,,,,,,,,654,9
*,☾,S/2023 S (♄) 5,2 km,"25,583,500 km",0.599,168.8°,,,,?,,,,,,,,,,,,655,9
*,☾,S/2020 S (♄) 41,2 km,"25,876,400 km",0.402,160.2°,,,,?,,,,,,,,,,,,656,9
*,☾,S/2019 S (♄) 21,2 km,"26,439,000 km",0.155,171.9°,,,,?,,,,,,,,,,,,657,9
*,☾,S/2004 S (♄) 52,2 km,"26,448,100 km",0.292,165.3°,,,,?,,,,,,,,,,,,658,9
*,☾,S/2020 S (♄) 43,2 km,"26,657,400 km",0.203,164.6°,,,,?,,,,,,,,,,,,659,9
